ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1903779	regulation of cardiac conduction	4/7	58/18493	3.02681184806162e-09	7.53676150167344e-07	2.77192242927749e-07	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0061337	cardiac conduction	4/7	111/18493	4.24326572453255e-08	5.28286582704303e-06	1.94296904228596e-06	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0019932	second-messenger-mediated signaling	5/7	439/18493	1.48818773548817e-07	9.3766678564686e-06	3.44861595228395e-06	ITPR3/GNAQ/ITPR2/GRM5/ITPR1	5
GO:0030168	platelet activation	4/7	152/18493	1.50629202513552e-07	9.3766678564686e-06	3.44861595228395e-06	ITPR3/GNAQ/ITPR2/ITPR1	4
GO:0035637	multicellular organismal signaling	4/7	176/18493	2.7139103647338e-07	1.35152736163743e-05	4.97074108909137e-06	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0008016	regulation of heart contraction	4/7	217/18493	6.27893411018073e-07	2.605757655725e-05	9.58363627343375e-06	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0048016	inositol phosphate-mediated signaling	3/7	56/18493	9.12688982064552e-07	3.12264140249322e-05	1.14846671746739e-05	ITPR3/ITPR2/ITPR1	3
GO:0060047	heart contraction	4/7	244/18493	1.00325828192553e-06	3.12264140249322e-05	1.14846671746739e-05	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0003015	heart process	4/7	252/18493	1.14114923874881e-06	3.15717956053839e-05	1.16116940083213e-05	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:1903522	regulation of blood circulation	4/7	262/18493	1.33282846718308e-06	3.31874288328586e-05	1.22059028047292e-05	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0007596	blood coagulation	4/7	334/18493	3.50436357556219e-06	7.20428373567373e-05	2.64964145002585e-05	ITPR3/GNAQ/ITPR2/ITPR1	4
GO:0007599	hemostasis	4/7	339/18493	3.71751141298069e-06	7.20428373567373e-05	2.64964145002585e-05	ITPR3/GNAQ/ITPR2/ITPR1	4
GO:0050817	coagulation	4/7	340/18493	3.76127263308267e-06	7.20428373567373e-05	2.64964145002585e-05	ITPR3/GNAQ/ITPR2/ITPR1	4
GO:0051480	regulation of cytosolic calcium ion concentration	4/7	350/18493	4.2202706249731e-06	7.50605275441644e-05	2.76062815317789e-05	ITPR3/ITPR2/GRM5/ITPR1	4
GO:0099566	regulation of postsynaptic cytosolic calcium ion concentration	2/7	10/18493	5.51879343531071e-06	9.16119710261578e-05	3.36936862366338e-05	GRM5/ITPR1	2
GO:0051209	release of sequestered calcium ion into cytosol	3/7	116/18493	8.26417450454433e-06	0.000126588112883983	4.65574543263857e-05	ITPR3/ITPR2/ITPR1	3
GO:0051283	negative regulation of sequestering of calcium ion	3/7	118/18493	8.70007900432832e-06	0.000126588112883983	4.65574543263857e-05	ITPR3/ITPR2/ITPR1	3
GO:0051282	regulation of sequestering of calcium ion	3/7	120/18493	9.15094791932408e-06	0.000126588112883983	4.65574543263857e-05	ITPR3/ITPR2/ITPR1	3
GO:0051208	sequestering of calcium ion	3/7	123/18493	9.85584716617753e-06	0.000129163470756748	4.75046373106618e-05	ITPR3/ITPR2/ITPR1	3
GO:0006874	cellular calcium ion homeostasis	4/7	448/18493	1.12255026962589e-05	0.000139757508568423	5.14009860302379e-05	ITPR3/ITPR2/GRM5/ITPR1	4
GO:0097553	calcium ion transmembrane import into cytosol	3/7	132/18493	1.21841556921673e-05	0.000142263265449791	5.23225706790608e-05	ITPR3/ITPR2/ITPR1	3
GO:0055074	calcium ion homeostasis	4/7	461/18493	1.25694451401422e-05	0.000142263265449791	5.23225706790608e-05	ITPR3/ITPR2/GRM5/ITPR1	4
GO:0072503	cellular divalent inorganic cation homeostasis	4/7	483/18493	1.51110962031758e-05	0.00016158626193203	5.94293163732261e-05	ITPR3/ITPR2/GRM5/ITPR1	4
GO:0008015	blood circulation	4/7	492/18493	1.62536061425512e-05	0.00016158626193203	5.94293163732261e-05	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0050878	regulation of body fluid levels	4/7	493/18493	1.63843910049567e-05	0.00016158626193203	5.94293163732261e-05	ITPR3/GNAQ/ITPR2/ITPR1	4
GO:0003013	circulatory system process	4/7	500/18493	1.73218593697863e-05	0.00016158626193203	5.94293163732261e-05	ITPR3/ITPR2/AHCYL1/ITPR1	4
GO:0060402	calcium ion transport into cytosol	3/7	149/18493	1.75214018962442e-05	0.00016158626193203	5.94293163732261e-05	ITPR3/ITPR2/ITPR1	3
GO:0070633	transepithelial transport	2/7	18/18493	1.87368489249364e-05	0.000166624120796756	6.12821750552433e-05	AHCYL1/ITPR1	2
GO:0060401	cytosolic calcium ion transport	3/7	161/18493	2.20951374665541e-05	0.000189713421695585	6.97741183154339e-05	ITPR3/ITPR2/ITPR1	3
GO:0050796	regulation of insulin secretion	3/7	172/18493	2.69245170550619e-05	0.000223473491557014	8.21906310101891e-05	ITPR3/ITPR2/ITPR1	3
GO:0030073	insulin secretion	3/7	203/18493	4.41591040487698e-05	0.00034361302837949	0.000126376383297466	ITPR3/ITPR2/ITPR1	3
GO:0090276	regulation of peptide hormone secretion	3/7	203/18493	4.41591040487698e-05	0.00034361302837949	0.000126376383297466	ITPR3/ITPR2/ITPR1	3
GO:0042044	fluid transport	2/7	28/18493	4.62076275585625e-05	0.000348657553396426	0.000128231693703188	AHCYL1/ITPR1	2
GO:0030072	peptide hormone secretion	3/7	244/18493	7.63621731097213e-05	0.000559240620715312	0.000205681395063336	ITPR3/ITPR2/ITPR1	3
GO:0046883	regulation of hormone secretion	3/7	261/18493	9.32766028460498e-05	0.000663596403104755	0.000244062088649815	ITPR3/ITPR2/ITPR1	3
GO:0070588	calcium ion transmembrane transport	3/7	302/18493	0.000143760089003144	0.000994340615605078	0.000365705489569401	ITPR3/ITPR2/ITPR1	3
GO:0046879	hormone secretion	3/7	306/18493	0.000149469935109137	0.00100589226600473	0.000369954035689756	ITPR3/ITPR2/ITPR1	3
GO:0007204	positive regulation of cytosolic calcium ion concentration	3/7	309/18493	0.00015384842737928	0.00100811206361686	0.000370770448254774	ITPR3/ITPR2/ITPR1	3
GO:0009914	hormone transport	3/7	316/18493	0.000164389665327121	0.00104259986828387	0.000383454612304785	ITPR3/ITPR2/ITPR1	3
GO:0051235	maintenance of location	3/7	318/18493	0.000167485922615883	0.00104259986828387	0.000383454612304785	ITPR3/ITPR2/ITPR1	3
GO:0035690	cellular response to drug	3/7	355/18493	0.000231833096250313	0.00138589237340816	0.000509713111335913	GNAQ/VIM/ITPR2	3
GO:1901653	cellular response to peptide	3/7	356/18493	0.00023376497864716	0.00138589237340816	0.000509713111335913	VIM/AHCYL1/GRM5	3
GO:0006816	calcium ion transport	3/7	413/18493	0.000362009643472926	0.00209628840057578	0.000770987490382976	ITPR3/ITPR2/ITPR1	3
GO:0050708	regulation of protein secretion	3/7	438/18493	0.000430216469971194	0.00243463411415516	0.000895426624102724	ITPR3/ITPR2/ITPR1	3
GO:0023061	signal release	3/7	453/18493	0.000474882149793945	0.00255326383758324	0.000939057086745897	ITPR3/ITPR2/ITPR1	3
GO:0007215	glutamate receptor signaling pathway	2/7	90/18493	0.000484133445180561	0.00255326383758324	0.000939057086745897	GNAQ/GRM5	2
GO:0070838	divalent metal ion transport	3/7	459/18493	0.00049355772333722	0.00255326383758324	0.000939057086745897	ITPR3/ITPR2/ITPR1	3
GO:0044070	regulation of anion transport	2/7	91/18493	0.0004949234725959	0.00255326383758324	0.000939057086745897	AHCYL1/GRM5	2
GO:0072511	divalent inorganic cation transport	3/7	462/18493	0.000503071542348708	0.00255326383758324	0.000939057086745897	ITPR3/ITPR2/ITPR1	3
GO:0002791	regulation of peptide secretion	3/7	465/18493	0.000512703581844024	0.00255326383758324	0.000939057086745897	ITPR3/ITPR2/ITPR1	3
GO:1901652	response to peptide	3/7	481/18493	0.000566097731088251	0.00276388892237205	0.00101652224158262	VIM/AHCYL1/GRM5	3
