ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0072384	organelle transport along microtubule	4/5	77/18493	1.38453771979086e-09	6.16119285306932e-07	2.05494545779485e-07	RHOT1/KIF5B/RHOT2/TRAK1	4
GO:0034643	establishment of mitochondrion localization, microtubule-mediated	3/5	20/18493	1.08020279590085e-08	1.49167780450999e-06	4.97519977376483e-07	RHOT1/RHOT2/TRAK1	3
GO:0047497	mitochondrion transport along microtubule	3/5	20/18493	1.08020279590085e-08	1.49167780450999e-06	4.97519977376483e-07	RHOT1/RHOT2/TRAK1	3
GO:0051654	establishment of mitochondrion localization	3/5	23/18493	1.67769586524459e-08	1.49167780450999e-06	4.97519977376483e-07	RHOT1/RHOT2/TRAK1	3
GO:0010970	transport along microtubule	4/5	149/18493	2.01125097237302e-08	1.49167780450999e-06	4.97519977376483e-07	RHOT1/KIF5B/RHOT2/TRAK1	4
GO:0099111	microtubule-based transport	4/5	149/18493	2.01125097237302e-08	1.49167780450999e-06	4.97519977376483e-07	RHOT1/KIF5B/RHOT2/TRAK1	4
GO:0030705	cytoskeleton-dependent intracellular transport	4/5	168/18493	3.26292008269405e-08	2.07428490971265e-06	6.91837190465957e-07	RHOT1/KIF5B/RHOT2/TRAK1	4
GO:0051646	mitochondrion localization	3/5	44/18493	1.2524866325907e-07	6.96695689378578e-06	2.32369230520117e-06	RHOT1/RHOT2/TRAK1	3
GO:0007018	microtubule-based movement	4/5	269/18493	2.16447663246574e-07	1.07021344605251e-05	3.56948777985579e-06	RHOT1/KIF5B/RHOT2/TRAK1	4
GO:0051656	establishment of organelle localization	4/5	491/18493	2.40346858020023e-06	0.00010695435181891	3.56725336640245e-05	RHOT1/KIF5B/RHOT2/TRAK1	4
GO:0010821	regulation of mitochondrion organization	3/5	176/18493	8.35666482895163e-06	0.000338065077171225	0.000112754999127481	RHOT1/RHOT2/MIR155	3
GO:0008089	anterograde axonal transport	2/5	44/18493	5.50751622762779e-05	0.00188526517022644	0.00062879335068463	KIF5B/TRAK1	2
GO:0047496	vesicle transport along microtubule	2/5	44/18493	5.50751622762779e-05	0.00188526517022644	0.00062879335068463	KIF5B/TRAK1	2
GO:0099518	vesicle cytoskeletal trafficking	2/5	49/18493	6.84284669757146e-05	0.00214522045648407	0.000715496355681261	KIF5B/TRAK1	2
GO:0097345	mitochondrial outer membrane permeabilization	2/5	51/18493	7.41729582653919e-05	0.00214522045648407	0.000715496355681261	RHOT1/RHOT2	2
GO:0098930	axonal transport	2/5	52/18493	7.71315220308877e-05	0.00214522045648407	0.000715496355681261	KIF5B/TRAK1	2
GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	2/5	57/18493	9.27867692205975e-05	0.00229514667035443	0.000765501314062625	RHOT1/RHOT2	2
GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death	2/5	59/18493	9.94509834813138e-05	0.00229514667035443	0.000765501314062625	RHOT1/RHOT2	2
GO:0035794	positive regulation of mitochondrial membrane permeability	2/5	61/18493	0.000106344752292669	0.00229514667035443	0.000765501314062625	RHOT1/RHOT2	2
GO:0008088	axo-dendritic transport	2/5	63/18493	0.000113467925275949	0.00229514667035443	0.000765501314062625	KIF5B/TRAK1	2
GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	2/5	63/18493	0.000113467925275949	0.00229514667035443	0.000765501314062625	RHOT1/RHOT2	2
GO:1905710	positive regulation of membrane permeability	2/5	63/18493	0.000113467925275949	0.00229514667035443	0.000765501314062625	RHOT1/RHOT2	2
GO:0046902	regulation of mitochondrial membrane permeability	2/5	73/18493	0.000152519592949695	0.0029509225592441	0.000984222544892768	RHOT1/RHOT2	2
GO:0090559	regulation of membrane permeability	2/5	81/18493	0.000187874881650885	0.00348351343061017	0.00116185782073574	RHOT1/RHOT2	2
GO:0008637	apoptotic mitochondrial changes	2/5	121/18493	0.000419156566842847	0.00746098688980267	0.00248846635473016	RHOT1/RHOT2	2
GO:0007006	mitochondrial membrane organization	2/5	131/18493	0.00049108082171902	0.00840503714096015	0.00280333586487376	RHOT1/RHOT2	2
GO:0007266	Rho protein signal transduction	2/5	199/18493	0.00112784171560676	0.0185885023498151	0.006199831653043	RHOT1/RHOT2	2
