ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO:0006810	GO:0006810	transport	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	5	tags=40%, list=42%, signal=140%	RUBCN/BECN1/DAPK1
GO:0006914	GO:0006914	autophagy	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	7	tags=67%, list=58%, signal=111%	VMP1/ATG14/RUBCN/BECN1/DAPK1
GO:0007154	GO:0007154	cell communication	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	3	tags=30%, list=25%, signal=135%	BECN1/DAPK1
GO:0009056	GO:0009056	catabolic process	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	7	tags=67%, list=58%, signal=111%	VMP1/ATG14/RUBCN/BECN1/DAPK1
GO:0032879	GO:0032879	regulation of localization	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	4	tags=30%, list=33%, signal=120%	BECN1/DAPK1
GO:0044237	GO:0044237	cellular metabolic process	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	7	tags=67%, list=58%, signal=111%	VMP1/ATG14/RUBCN/BECN1/DAPK1
GO:0044248	GO:0044248	cellular catabolic process	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	7	tags=67%, list=58%, signal=111%	VMP1/ATG14/RUBCN/BECN1/DAPK1
GO:0048518	GO:0048518	positive regulation of biological process	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	3	tags=30%, list=25%, signal=135%	BECN1/DAPK1
GO:0048519	GO:0048519	negative regulation of biological process	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	5	tags=40%, list=42%, signal=140%	RUBCN/BECN1/DAPK1
GO:0050896	GO:0050896	response to stimulus	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	3	tags=30%, list=25%, signal=135%	BECN1/DAPK1
GO:0051234	GO:0051234	establishment of localization	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	5	tags=40%, list=42%, signal=140%	RUBCN/BECN1/DAPK1
GO:0051716	GO:0051716	cellular response to stimulus	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	3	tags=30%, list=25%, signal=135%	BECN1/DAPK1
GO:0061919	GO:0061919	process utilizing autophagic mechanism	9	-1	-1.08174190931623	0.00211416490486258	0.0059924246706993	0.00243981540713676	7	tags=67%, list=58%, signal=111%	VMP1/ATG14/RUBCN/BECN1/DAPK1
GO:0019222	GO:0019222	regulation of metabolic process	8	-1	-1.07619059849344	0.0022075055187638	0.0059924246706993	0.00243981540713676	5	tags=50%, list=42%, signal=87%	RUBCN/BECN1/DAPK1
GO:0042221	GO:0042221	response to chemical	8	-1	-1.07619059849344	0.0022075055187638	0.0059924246706993	0.00243981540713676	3	tags=22%, list=25%, signal=67%	DAPK1
GO:0048523	GO:0048523	negative regulation of cellular process	8	-1	-1.07619059849344	0.0022075055187638	0.0059924246706993	0.00243981540713676	5	tags=44%, list=42%, signal=104%	RUBCN/BECN1/DAPK1
GO:0071704	GO:0071704	organic substance metabolic process	8	-1	-1.07619059849344	0.0022075055187638	0.0059924246706993	0.00243981540713676	5	tags=50%, list=42%, signal=87%	RUBCN/BECN1/DAPK1
GO:0006464	GO:0006464	cellular protein modification process	6	-1	-1.10348082157847	0.00255102040816327	0.0059924246706993	0.00243981540713676	3	tags=50%, list=25%, signal=75%	BECN1/DAPK1
GO:0006793	GO:0006793	phosphorus metabolic process	6	-1	-1.10348082157847	0.00255102040816327	0.0059924246706993	0.00243981540713676	2	tags=50%, list=17%, signal=83%	RUBCN/DAPK1
GO:0006796	GO:0006796	phosphate-containing compound metabolic process	6	-1	-1.10348082157847	0.00255102040816327	0.0059924246706993	0.00243981540713676	2	tags=50%, list=17%, signal=83%	RUBCN/DAPK1
GO:0006807	GO:0006807	nitrogen compound metabolic process	6	-1	-1.10348082157847	0.00255102040816327	0.0059924246706993	0.00243981540713676	3	tags=50%, list=25%, signal=75%	BECN1/DAPK1
GO:0006915	GO:0006915	apoptotic process	6	-1	-1.10348082157847	0.00255102040816327	0.0059924246706993	0.00243981540713676	3	tags=29%, list=25%, signal=51%	DAPK1
GO:0007165	GO:0007165	signal transduction	6	-1	-1.10348082157847	0.00255102040816327	0.0059924246706993	0.00243981540713676	3	tags=29%, list=25%, signal=51%	DAPK1
GO:0008219	GO:0008219	cell death	6	-1	-1.10348082157847	0.00255102040816327	0.0059924246706993	0.00243981540713676	3	tags=29%, list=25%, signal=51%	DAPK1
