ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005776	autophagosome	11/48	89/19659	1.70268316650208e-16	3.01374920470868e-14	1.93568191560236e-14	ULK1/ATG5/GABARAP/MAP1LC3B/SQSTM1/MAP1LC3A/GABARAPL1/ATG12/ATG16L1/NBR1/GABARAPL2	11
GO:0000407	phagophore assembly site	7/48	31/19659	8.23855533123589e-13	6.2103947060849e-11	3.98883513682527e-11	ULK1/ATG5/SQSTM1/ATG7/ATG12/ATG16L1/NBR1	7
GO:0000421	autophagosome membrane	7/48	32/19659	1.05260927221778e-12	6.2103947060849e-11	3.98883513682527e-11	ULK1/GABARAP/MAP1LC3B/MAP1LC3A/GABARAPL1/ATG16L1/GABARAPL2	7
GO:0034045	phagophore assembly site membrane	4/48	16/19659	5.57092997815223e-08	2.46513651533236e-06	1.58331694115905e-06	ULK1/ATG5/ATG12/ATG16L1	4
GO:0005741	mitochondrial outer membrane	7/48	180/19659	2.57476464984217e-07	8.92343451273454e-06	5.73137631504806e-06	ULK1/PPP1R15A/BNIP3/FOXO3/MUL1/BNIP3L/ACACB	7
GO:0005930	axoneme	6/48	114/19659	3.35105988968752e-07	8.92343451273454e-06	5.73137631504806e-06	ATG5/GABARAP/MAP1LC3B/ATG7/ATG16L1/PRKACA	6
GO:0097014	ciliary plasm	6/48	115/19659	3.52904189769163e-07	8.92343451273454e-06	5.73137631504806e-06	ATG5/GABARAP/MAP1LC3B/ATG7/ATG16L1/PRKACA	6
GO:0032838	plasma membrane bounded cell projection cytoplasm	7/48	196/19659	4.58274369174508e-07	1.0139320417986e-05	6.51231998300617e-06	ATG5/GABARAP/MAP1LC3B/GABARAPL1/ATG7/ATG16L1/PRKACA	7
GO:0031968	organelle outer membrane	7/48	204/19659	6.00126675783336e-07	1.13429822087605e-05	7.28541230179085e-06	ULK1/PPP1R15A/BNIP3/FOXO3/MUL1/BNIP3L/ACACB	7
GO:0019867	outer membrane	7/48	206/19659	6.40846452472343e-07	1.13429822087605e-05	7.28541230179085e-06	ULK1/PPP1R15A/BNIP3/FOXO3/MUL1/BNIP3L/ACACB	7
GO:0099568	cytoplasmic region	9/48	479/19659	2.02401906595645e-06	3.25683067885719e-05	2.09180917821336e-05	ATG5/GABARAP/MAP1LC3B/GABARAPL1/ATG7/AKT2/ATG16L1/PRKACA/CAPN2	9
GO:0044441	ciliary part	8/48	441/19659	1.03390250595563e-05	0.000152500619628456	9.79486584589547e-05	ATG5/GABARAP/MAP1LC3B/AKT1/SQSTM1/ATG7/ATG16L1/PRKACA	8
GO:0005774	vacuolar membrane	7/48	397/19659	4.68450623624029e-05	0.000637813541395793	0.000409657225517369	ULK1/GABARAP/MAP1LC3B/MAP1LC3A/GABARAPL1/ATG16L1/GABARAPL2	7
GO:0036126	sperm flagellum	4/48	90/19659	6.85119646956878e-05	0.000866186982224053	0.000556337758431149	CUL3/GABARAP/SQSTM1/PRKACA	4
GO:0097729	9+2 motile cilium	4/48	95/19659	8.46006264513883e-05	0.000998287392126382	0.000641183695210522	CUL3/GABARAP/SQSTM1/PRKACA	4
GO:0031932	TORC2 complex	2/48	12/19659	0.000379320587654498	0.00419623400092789	0.00269517259649249	RICTOR/SESN3	2
GO:0005767	secondary lysosome	2/48	14/19659	0.000521374737002423	0.00542843108526052	0.00348659266849917	SQSTM1/MAP1LC3A	2
GO:0038201	TOR complex	2/48	15/19659	0.000600649483135296	0.00590638658416374	0.00379357568295976	RICTOR/SESN3	2
GO:0005759	mitochondrial matrix	6/48	462/19659	0.000867329471627002	0.00803024979790681	0.00515769835369572	SOD2/SIRT3/FOXO3/NDUFA9/HMGCS2/HMGCL	6
GO:0031514	motile cilium	4/48	177/19659	0.000907372858520544	0.00803024979790681	0.00515769835369572	CUL3/GABARAP/SQSTM1/PRKACA	4
GO:0031307	integral component of mitochondrial outer membrane	2/48	20/19659	0.0010784576814455	0.00908985760075493	0.00583826714767489	BNIP3/MUL1	2
GO:0097223	sperm part	4/48	188/19659	0.00113471977208674	0.00912933634815241	0.00586362370264918	CUL3/GABARAP/SQSTM1/PRKACA	4
GO:0031306	intrinsic component of mitochondrial outer membrane	2/48	21/19659	0.00119012523680805	0.00915878986587066	0.00588254121625948	BNIP3/MUL1	2
GO:0097225	sperm midpiece	2/48	22/19659	0.00130710152165866	0.00963987372223264	0.0061915335236463	GABARAP/SQSTM1	2
GO:0005719	nuclear euchromatin	2/48	25/19659	0.00168962821844338	0.0115759711574118	0.00743505730003259	SIRT1/PPARGC1A	2
GO:0005667	transcription factor complex	5/48	356/19659	0.00171157209848051	0.0115759711574118	0.00743505730003259	ATF4/CEBPB/DDIT3/EP300/XRCC6	5
GO:0016605	PML body	3/48	98/19659	0.00176582610875774	0.0115759711574118	0.00743505730003259	SQSTM1/SIRT1/PPARGC1A	3
GO:0005770	late endosome	4/48	243/19659	0.00289315714522522	0.0179257502100412	0.0115134167272343	SQSTM1/MAP1LC3A/DDIT3/NBR1	4
GO:0000791	euchromatin	2/48	33/19659	0.00293698732254913	0.0179257502100412	0.0115134167272343	SIRT1/PPARGC1A	2
GO:0005874	microtubule	5/48	414/19659	0.0032896464072757	0.0194089138029267	0.012466028490729	CUL3/GABARAP/MAP1LC3B/MAP1LC3A/GABARAPL1	5
GO:1904813	ficolin-1-rich granule lumen	3/48	124/19659	0.00344446971821113	0.0196668109717216	0.0126316716321495	ATG7/CAPN1/XRCC6	3
GO:0032590	dendrite membrane	2/48	40/19659	0.004291824153567	0.0237391523494175	0.0152472700192512	ATF4/GABARAPL1	2
GO:0090575	RNA polymerase II transcription factor complex	3/48	161/19659	0.00711976479542026	0.0381878293572541	0.0245274193909215	ATF4/CEBPB/DDIT3	3
GO:0031256	leading edge membrane	3/48	167/19659	0.007870640358934	0.0409736277509211	0.0263166922218227	ATF4/GABARAPL1/AKT2	3
GO:0032589	neuron projection membrane	2/48	57/19659	0.00855337682990213	0.0420541027470188	0.0270106636733752	ATF4/GABARAPL1	2
GO:0045171	intercellular bridge	2/48	57/19659	0.00855337682990213	0.0420541027470188	0.0270106636733752	PRKACA/ESRRA	2
GO:0101002	ficolin-1-rich granule	3/48	185/19659	0.0103966303952641	0.0497352318908578	0.0319441275302565	ATG7/CAPN1/XRCC6	3
