ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005776	autophagosome	13/37	89/19659	4.38452632654427e-22	6.57678948981641e-20	4.33837341784381e-20	ULK1/ATG5/GABARAP/MAP1LC3B/BECN1/SQSTM1/MAP1LC3A/GABARAPL1/ATG12/ATG16L1/NBR1/GABARAPL2/VMP1	13
GO:0000407	phagophore assembly site	8/37	31/19659	5.34830567489278e-16	3.5608567621838e-14	2.34891603961598e-14	ULK1/ATG5/BECN1/SQSTM1/ATG7/ATG12/ATG16L1/NBR1	8
GO:0000421	autophagosome membrane	8/37	32/19659	7.1217135243676e-16	3.5608567621838e-14	2.34891603961598e-14	ULK1/GABARAP/MAP1LC3B/MAP1LC3A/GABARAPL1/ATG16L1/GABARAPL2/VMP1	8
GO:0034045	phagophore assembly site membrane	4/37	16/19659	1.90110143568341e-08	7.12913038381277e-07	4.70272460405895e-07	ULK1/ATG5/ATG12/ATG16L1	4
GO:0005930	axoneme	6/37	114/19659	6.68615616058146e-08	1.50956736795111e-06	9.95784790087048e-07	ATG5/GABARAP/MAP1LC3B/ATG7/ATG16L1/PRKACA	6
GO:0032838	plasma membrane bounded cell projection cytoplasm	7/37	196/19659	7.03009668131752e-08	1.50956736795111e-06	9.95784790087048e-07	ATG5/GABARAP/MAP1LC3B/GABARAPL1/ATG7/ATG16L1/PRKACA	7
GO:0097014	ciliary plasm	6/37	115/19659	7.04464771710518e-08	1.50956736795111e-06	9.95784790087048e-07	ATG5/GABARAP/MAP1LC3B/ATG7/ATG16L1/PRKACA	6
GO:0005774	vacuolar membrane	8/37	397/19659	5.96074921911414e-07	1.1176404785839e-05	7.37250561311485e-06	ULK1/GABARAP/MAP1LC3B/MAP1LC3A/GABARAPL1/ATG16L1/GABARAPL2/VMP1	8
GO:0044441	ciliary part	7/37	441/19659	1.56773900017043e-05	0.000261289833361739	0.000172359609375463	ATG5/GABARAP/MAP1LC3B/SQSTM1/ATG7/ATG16L1/PRKACA	7
GO:0036126	sperm flagellum	4/37	90/19659	2.41652720720993e-05	0.00036247908108149	0.000239109007871299	CUL3/GABARAP/SQSTM1/PRKACA	4
GO:0099568	cytoplasmic region	7/37	479/19659	2.66639756431202e-05	0.00036359966786073	0.000239848201957254	ATG5/GABARAP/MAP1LC3B/GABARAPL1/ATG7/ATG16L1/PRKACA	7
GO:0097729	9+2 motile cilium	4/37	95/19659	2.99064356591823e-05	0.000373830445739779	0.000246596925610802	CUL3/GABARAP/SQSTM1/PRKACA	4
GO:0005767	secondary lysosome	2/37	14/19659	0.000309213709666184	0.00354524514094694	0.00233861784736149	SQSTM1/MAP1LC3A	2
