ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006750	glutathione biosynthetic process	4/7	17/18493	1.70700419872333e-11	3.64082562982747e-09	1.19946846784191e-09	GCLM/SLC7A11/GSS/GCLC	4
GO:0019184	nonribosomal peptide biosynthetic process	4/7	19/18493	2.77925620597517e-11	3.64082562982747e-09	1.19946846784191e-09	GCLM/SLC7A11/GSS/GCLC	4
GO:0042398	cellular modified amino acid biosynthetic process	4/7	46/18493	1.16600698173922e-09	1.01831276405225e-07	3.35482710535494e-08	GCLM/SLC7A11/GSS/GCLC	4
GO:0006749	glutathione metabolic process	4/7	54/18493	2.25736081803286e-09	1.47857133581152e-07	4.87114702838669e-08	GCLM/SLC7A11/GSS/GCLC	4
GO:0006534	cysteine metabolic process	3/7	19/18493	3.20969396222449e-08	1.42642281319485e-06	4.69934394061783e-07	GCLM/SLC7A11/GCLC	3
GO:0006520	cellular amino acid metabolic process	5/7	324/18493	3.26661712945386e-08	1.42642281319485e-06	4.69934394061783e-07	GCLM/SLC7A11/GSS/SLC7A5/GCLC	5
GO:0006536	glutamate metabolic process	3/7	40/18493	3.26148717370688e-07	1.11479993839359e-05	3.67270369418539e-06	GCLM/SLC7A11/GCLC	3
GO:0044272	sulfur compound biosynthetic process	4/7	187/18493	3.46074016970997e-07	1.11479993839359e-05	3.67270369418539e-06	GCLM/SLC7A11/GSS/GCLC	4
GO:0006575	cellular modified amino acid metabolic process	4/7	197/18493	4.2639836346803e-07	1.11479993839359e-05	3.67270369418539e-06	GCLM/SLC7A11/GSS/GCLC	4
GO:0000096	sulfur amino acid metabolic process	3/7	44/18493	4.36913707517851e-07	1.11479993839359e-05	3.67270369418539e-06	GCLM/SLC7A11/GCLC	3
GO:0009069	serine family amino acid metabolic process	3/7	45/18493	4.68045775661431e-07	1.11479993839359e-05	3.67270369418539e-06	GCLM/SLC7A11/GCLC	3
