ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022900	electron transport chain	17/35	182/18493	1.38380178802588e-25	1.29385467180419e-22	8.60870375498203e-23	COX6A1/SDHB/CYCS/COX7A2/PPARGC1A/COX5B/COX4I1/COX5A/SDHC/COX6B1/NDUFS8/COX7B/COX6C/COX8A/SDHD/COX7C/IDH3B	17
GO:0006091	generation of precursor metabolites and energy	21/35	471/18493	3.60689572221227e-25	1.68622375013423e-22	1.12193440622497e-22	COX6A1/SDHB/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/NRF1/IDH3A/COX4I1/COX5A/SDHC/COX6B1/NDUFS8/COX7B/COX6C/COX8A/SDHD/COX7C/IDH3G/IDH3B	21
GO:0009060	aerobic respiration	13/35	80/18493	9.12997311334403e-23	2.84550828699222e-20	1.89326810876713e-20	COX6A1/SDHB/CYCS/COX5B/IDH3A/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C/IDH3G/IDH3B	13
GO:0045333	cellular respiration	14/35	176/18493	5.77071110956228e-20	1.34890372186018e-17	8.97497438355608e-18	COX6A1/SDHB/CYCS/PPARGC1A/COX5B/IDH3A/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C/IDH3G/IDH3B	14
GO:0015980	energy derivation by oxidation of organic compounds	14/35	267/18493	2.15184465660726e-17	4.02394950785557e-15	2.67734777274713e-15	COX6A1/SDHB/CYCS/PPARGC1A/COX5B/IDH3A/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C/IDH3G/IDH3B	14
GO:0022904	respiratory electron transport chain	11/35	104/18493	3.85417668666371e-17	6.00609200338429e-15	3.99617266985659e-15	COX6A1/SDHB/CYCS/PPARGC1A/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	11
GO:0046034	ATP metabolic process	12/35	250/18493	1.81245290134526e-14	2.42091923251117e-12	1.61076641307526e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0006119	oxidative phosphorylation	10/35	126/18493	2.3835861589151e-14	2.78581632323202e-12	1.85355186831424e-12	COX6A1/CYCS/COX7A2/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	10
GO:0042775	mitochondrial ATP synthesis coupled electron transport	9/35	86/18493	4.23248292783147e-14	4.39707948613603e-12	2.92561100625544e-12	COX6A1/CYCS/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	9
GO:0042773	ATP synthesis coupled electron transport	9/35	87/18493	4.7148532203719e-14	4.40838776104772e-12	2.93313500341031e-12	COX6A1/CYCS/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	9
GO:0009205	purine ribonucleoside triphosphate metabolic process	12/35	280/18493	7.0209312079956e-14	5.87262311576831e-12	3.90736871536062e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0009167	purine ribonucleoside monophosphate metabolic process	12/35	286/18493	9.03790463138445e-14	5.87262311576831e-12	3.90736871536062e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0009199	ribonucleoside triphosphate metabolic process	12/35	286/18493	9.03790463138445e-14	5.87262311576831e-12	3.90736871536062e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0009126	purine nucleoside monophosphate metabolic process	12/35	287/18493	9.42132050658018e-14	5.87262311576831e-12	3.90736871536062e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0009144	purine nucleoside triphosphate metabolic process	12/35	287/18493	9.42132050658018e-14	5.87262311576831e-12	3.90736871536062e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	6/35	15/18493	1.44592770418229e-13	7.95260237300259e-12	5.29128961716243e-12	COX6A1/CYCS/COX5B/COX4I1/COX5A/COX7C	6
GO:0019646	aerobic electron transport chain	6/35	15/18493	1.44592770418229e-13	7.95260237300259e-12	5.29128961716243e-12	COX6A1/CYCS/COX5B/COX4I1/COX5A/COX7C	6
GO:0009161	ribonucleoside monophosphate metabolic process	12/35	300/18493	1.59536145482465e-13	8.28701644589471e-12	5.51379309825361e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0009141	nucleoside triphosphate metabolic process	12/35	307/18493	2.09778450212061e-13	1.03233079446462e-11	6.86864620915946e-12	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:1902600	proton transmembrane transport	10/35	162/18493	3.05793083796438e-13	1.42958266674835e-11	9.51177434335235e-12	COX6A1/COX7A2/COX5B/COX4I1/COX5A/COX6B1/COX7B/COX6C/COX8A/COX7C	10
GO:0009123	nucleoside monophosphate metabolic process	12/35	322/18493	3.69183559230668e-13	1.64374584705083e-11	1.09367159651792e-11	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0006099	tricarboxylic acid cycle	6/35	33/18493	3.12313925744972e-11	1.32733418441613e-09	8.83146077106597e-10	SDHB/IDH3A/SDHC/SDHD/IDH3G/IDH3B	6
GO:0009150	purine ribonucleotide metabolic process	12/35	488/18493	4.79301835974201e-11	1.94846615928643e-09	1.29641823826431e-09	COX6A1/CYCS/COX7A2/PPARGC1A/PPARA/COX5B/COX4I1/COX5A/SDHC/NDUFS8/SDHD/COX7C	12
GO:0006101	citrate metabolic process	6/35	37/18493	6.5202604764388e-11	2.54018481061262e-09	1.69012014981374e-09	SDHB/IDH3A/SDHC/SDHD/IDH3G/IDH3B	6
GO:0072350	tricarboxylic acid metabolic process	6/35	41/18493	1.25431705633793e-10	4.69114579070388e-09	3.12126896966619e-09	SDHB/IDH3A/SDHC/SDHD/IDH3G/IDH3B	6
GO:0016999	antibiotic metabolic process	6/35	152/18493	3.7232085191543e-07	1.33892306361895e-05	8.90856775230847e-06	SDHB/IDH3A/SDHC/SDHD/IDH3G/IDH3B	6
GO:0006390	mitochondrial transcription	3/35	14/18493	2.22847159887796e-06	7.71711461092925e-05	5.1346070757773e-05	TFAM/POLRMT/TFB2M	3
GO:0045722	positive regulation of gluconeogenesis	3/35	17/18493	4.14689729121831e-06	0.000138476748831754	9.21359510943617e-05	PPARGC1A/PPARA/KAT2A	3
