Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0016236~macroautophagy	6	100.0	2.458516140704092E-10	5899, 9776, 10490, 53349, 26100, 8673	6	203	16792	82.7192118226601	9.096507358474781E-8	9.096507358474781E-8	3.390228209276813E-7
GOTERM_BP_ALL	GO:0006914~autophagy	6	100.0	9.336855384839738E-9	5899, 9776, 10490, 53349, 26100, 8673	6	418	16792	40.17224880382775	3.454630546850801E-6	1.7273167652875898E-6	1.2875276755863752E-5
GOTERM_BP_ALL	GO:0007033~vacuole organization	5	83.33333333333334	1.2698699427498033E-7	5899, 9776, 10490, 26100, 8673	6	214	16792	65.38940809968848	4.6984087070156555E-5	1.5661607641437314E-5	1.7511157617278172E-4
GOTERM_CC_ALL	GO:0000407~pre-autophagosomal structure	3	50.0	2.7914921775507646E-5	9776, 53349, 26100	6	31	18224	293.93548387096774	0.00320511343386376	0.00320511343386376	0.03179275619793476
GOTERM_BP_ALL	GO:0097352~autophagosome maturation	3	50.0	3.287024971007719E-5	10490, 26100, 8673	6	31	16792	270.83870967741933	0.012088531747381892	0.003035930285346433	0.04531768147566506
GOTERM_BP_ALL	GO:0097576~vacuole fusion	3	50.0	4.203972687005792E-5	10490, 26100, 8673	6	35	16792	239.8857142857143	0.01543467134078913	0.003106171019464199	0.05795609296623816
GOTERM_CC_ALL	GO:0005773~vacuole	5	83.33333333333334	9.219937112514622E-5	5899, 10490, 53349, 26100, 8673	6	1212	18224	12.53025302530253	0.010547398449394452	0.005287678999297052	0.10497229330673763
GOTERM_BP_ALL	GO:0000045~autophagosome assembly	3	50.0	1.3317897656484837E-4	5899, 9776, 26100	6	62	16792	135.41935483870967	0.04808497049772664	0.008179613892944304	0.18349397264472156
GOTERM_BP_ALL	GO:1905037~autophagosome organization	3	50.0	1.4194856757648543E-4	5899, 9776, 26100	6	64	16792	131.1875	0.05116911345342057	0.007475447096432775	0.19556574824223238
GOTERM_CC_ALL	GO:0005776~autophagosome	3	50.0	2.232017153706428E-4	5899, 53349, 26100	6	87	18224	104.73563218390804	0.025344362117642683	0.00852051366497042	0.25395029325245844
GOTERM_BP_ALL	GO:1903827~regulation of cellular protein localization	4	66.66666666666666	3.545768858938252E-4	5899, 9776, 10490, 8673	6	562	16792	19.919335705812575	0.1229723089476813	0.01626830721525596	0.4878450387134081
GOTERM_BP_ALL	GO:0034613~cellular protein localization	5	83.33333333333334	3.7950025016305147E-4	5899, 9776, 10490, 26100, 8673	6	1600	16792	8.745833333333334	0.13102571278018227	0.015483516592684765	0.522052712219423
GOTERM_BP_ALL	GO:0070727~cellular macromolecule localization	5	83.33333333333334	3.917341788750182E-4	5899, 9776, 10490, 26100, 8673	6	1613	16792	8.675346145897914	0.13495179294035664	0.014392428677421631	0.5388399632011098
GOTERM_BP_ALL	GO:0048284~organelle fusion	3	50.0	9.187013019163689E-4	10490, 26100, 8673	6	163	16792	51.509202453987726	0.28828357019119544	0.03044296284426462	1.2594488904396295
GOTERM_BP_ALL	GO:0060341~regulation of cellular localization	4	66.66666666666666	0.001132110970815013	5899, 9776, 10490, 8673	6	834	16792	13.422861710631494	0.34237363825467493	0.03432363715929243	1.5498990569700832
GOTERM_BP_ALL	GO:0032880~regulation of protein localization	4	66.66666666666666	0.0017177726221645818	5899, 9776, 10490, 8673	6	962	16792	11.636867636867636	0.4706589688966646	0.04775458737698013	2.342917324616811
GOTERM_BP_ALL	GO:0008104~protein localization	5	83.33333333333334	0.0019912251604502075	5899, 9776, 10490, 26100, 8673	6	2448	16792	5.716230936819173	0.5216859746643814	0.05131427574430991	2.7111545845972307
GOTERM_BP_ALL	GO:0051641~cellular localization	5	83.33333333333334	0.002300109483546569	5899, 9776, 10490, 26100, 8673	6	2541	16792	5.507018234290961	0.5734478970445644	0.055218300221155925	3.125555928564505
GOTERM_MF_ALL	GO:0019869~chloride channel inhibitor activity	2	33.33333333333333	0.002663193155568821	10490, 8673	6	9	16881	625.2222222222222	0.13872184191418446	0.13872184191418446	2.5988772666167503
GOTERM_BP_ALL	GO:0033036~macromolecule localization	5	83.33333333333334	0.0034231918244008097	5899, 9776, 10490, 26100, 8673	6	2817	16792	4.967459472251805	0.7188181904944602	0.07623457916038145	4.61853309837349
GOTERM_MF_ALL	GO:0017081~chloride channel regulator activity	2	33.33333333333333	0.005320709208248229	10490, 8673	6	18	16881	312.6111111111111	0.25825904733780225	0.13875615957953125	5.131545992622022
GOTERM_BP_ALL	GO:0006887~exocytosis	3	50.0	0.005502818021441868	5899, 10490, 8673	6	404	16792	20.78217821782178	0.8701876444893616	0.11316644020975242	7.326902224670107
GOTERM_BP_ALL	GO:1902589~single-organism organelle organization	4	66.66666666666666	0.0076109610542157745	9776, 10490, 26100, 8673	6	1612	16792	6.9445822994210085	0.9407995847062408	0.1453351959844844	9.999466007103852
GOTERM_BP_ALL	GO:0006996~organelle organization	5	83.33333333333334	0.010234408080306047	5899, 9776, 10490, 26100, 8673	6	3753	16792	3.7285726973976376	0.977768424912266	0.1815381643918219	13.22546176910121
GOTERM_CC_ALL	GO:0043234~protein complex	5	83.33333333333334	0.010669083501116264	5899, 9776, 10490, 26100, 8673	6	4118	18224	3.6878743726728187	0.7087393533244593	0.2653669674678786	11.501315225032338
GOTERM_MF_ALL	GO:0008200~ion channel inhibitor activity	2	33.33333333333333	0.010912418405321835	10490, 8673	6	37	16881	152.0810810810811	0.459063916423855	0.18520444558767257	10.268252636658893
GOTERM_MF_ALL	GO:0016248~channel inhibitor activity	2	33.33333333333333	0.01120602075115511	10490, 8673	6	38	16881	148.07894736842104	0.467982954477731	0.1459537565533202	10.530921482637822
GOTERM_CC_ALL	GO:0048471~perinuclear region of cytoplasm	3	50.0	0.011440005609638556	10490, 53349, 8673	6	639	18224	14.259780907668233	0.7337138439978987	0.23251531552200666	12.283668666303493
GOTERM_MF_ALL	GO:0005484~SNAP receptor activity	2	33.33333333333333	0.011499553369670502	10490, 8673	6	39	16881	144.28205128205127	0.47675545060257485	0.12150166524054506	10.79283695517913
GOTERM_BP_ALL	GO:0070925~organelle assembly	3	50.0	0.013962858820937726	5899, 9776, 26100	6	653	16792	12.857580398162328	0.9944981172306696	0.22905114703129592	17.62605677105311
GOTERM_CC_ALL	GO:0031201~SNARE complex	2	33.33333333333333	0.015000818984464134	10490, 8673	6	55	18224	110.44848484848484	0.8241570418792827	0.25150742445145335	15.816067101689523
GOTERM_BP_ALL	GO:0061726~mitochondrion disassembly	2	33.33333333333333	0.01656572023719347	9776, 26100	6	56	16792	99.95238095238095	0.9979309226459968	0.2549595638899662	20.57445837127777
GOTERM_BP_ALL	GO:0000422~mitophagy	2	33.33333333333333	0.01656572023719347	9776, 26100	6	56	16792	99.95238095238095	0.9979309226459968	0.2549595638899662	20.57445837127777
GOTERM_CC_ALL	GO:0044444~cytoplasmic part	6	100.0	0.017227627578024717	5899, 9776, 10490, 53349, 26100, 8673	6	8090	18224	2.2526576019777504	0.8644535955714285	0.24835534816675386	17.958642881279218
GOTERM_BP_ALL	GO:0006892~post-Golgi vesicle-mediated transport	2	33.33333333333333	0.019207465541205976	10490, 8673	6	65	16792	86.1128205128205	0.9992352032459744	0.27832277204978817	23.4665769180189
GOTERM_BP_ALL	GO:1903076~regulation of protein localization to plasma membrane	2	33.33333333333333	0.01950064200205216	10490, 8673	6	66	16792	84.8080808080808	0.9993152909831878	0.2715272572978328	23.781445306242045
GOTERM_BP_ALL	GO:1904375~regulation of protein localization to cell periphery	2	33.33333333333333	0.019793748351477947	10490, 8673	6	67	16792	83.54228855721392	0.9993869961738215	0.2652420405303375	24.095036998477802
GOTERM_CC_ALL	GO:0032991~macromolecular complex	5	83.33333333333334	0.02000168047748049	5899, 9776, 10490, 26100, 8673	6	4868	18224	3.119693234730211	0.9020706070977607	0.2520645246065387	20.558144400577426
GOTERM_BP_ALL	GO:0051128~regulation of cellular component organization	4	66.66666666666666	0.02126704234095654	5899, 9776, 10490, 8673	6	2323	16792	4.8190558186253405	0.99964863477465	0.27250443334232166	25.65325548276415
GOTERM_BP_ALL	GO:1903729~regulation of plasma membrane organization	2	33.33333333333333	0.022136076591128602	10490, 8673	6	75	16792	74.63111111111111	0.9997470603945174	0.2727989559680093	26.558417316867068
GOTERM_BP_ALL	GO:1903008~organelle disassembly	2	33.33333333333333	0.02272095840433907	9776, 26100	6	77	16792	72.6926406926407	0.9997972893811453	0.27017682805982135	27.16184784482215
GOTERM_BP_ALL	GO:0032879~regulation of localization	4	66.66666666666666	0.02528170429401195	5899, 9776, 10490, 8673	6	2473	16792	4.526755627443052	0.999923215485233	0.28707230290841546	29.750058406533785
GOTERM_BP_ALL	GO:0032940~secretion by cell	3	50.0	0.02942606108309906	5899, 10490, 8673	6	966	16792	8.69151138716356	0.9999841294657176	0.3168703164863883	33.758803501474446
GOTERM_CC_ALL	GO:0031902~late endosome membrane	2	33.33333333333333	0.03062429264509727	10490, 8673	6	113	18224	53.75811209439528	0.9720362643946917	0.3279532808666171	29.832760203218744
GOTERM_BP_ALL	GO:0006906~vesicle fusion	2	33.33333333333333	0.03262120673941553	10490, 8673	6	111	16792	50.426426426426424	0.9999953147996433	0.33571016699611345	36.70339823839937
GOTERM_BP_ALL	GO:0009267~cellular response to starvation	2	33.33333333333333	0.0337806466500982	5899, 53349	6	115	16792	48.67246376811594	0.9999969937790723	0.33645307374232325	37.74155353566228
GOTERM_BP_ALL	GO:0090174~organelle membrane fusion	2	33.33333333333333	0.034070332849833955	10490, 8673	6	116	16792	48.25287356321839	0.9999973094761103	0.33021965065716885	37.99845929613902
GOTERM_MF_ALL	GO:1901981~phosphatidylinositol phosphate binding	2	33.33333333333333	0.03504527107499323	53349, 26100	6	120	16881	46.891666666666666	0.8643597528172435	0.2831998369821884	29.6902263401423
GOTERM_MF_ALL	GO:0000149~SNARE binding	2	33.33333333333333	0.03705882881371847	10490, 8673	6	127	16881	44.30708661417323	0.8793336110090837	0.26073857483047547	31.125599278055283
GOTERM_BP_ALL	GO:0046903~secretion	3	50.0	0.03741070476354057	5899, 10490, 8673	6	1098	16792	7.646630236794171	0.9999992532413939	0.3478630694233986	40.89065653994699
GOTERM_CC_ALL	GO:0055037~recycling endosome	2	33.33333333333333	0.03756324558375286	10490, 8673	6	139	18224	43.70263788968825	0.9877593920964278	0.3561565250765606	35.34593632714795
GOTERM_MF_ALL	GO:0016247~channel regulator activity	2	33.33333333333333	0.03935592027360503	10490, 8673	6	135	16881	41.68148148148148	0.8944397051056848	0.24501630177155043	32.730889285889155
GOTERM_BP_ALL	GO:0042594~response to starvation	2	33.33333333333333	0.044739979119524056	5899, 53349	6	153	16792	36.5838779956427	0.999999955843685	0.3923181579634041	46.803613397117296
GOTERM_BP_ALL	GO:0044801~single-organism membrane fusion	2	33.33333333333333	0.04560093564755643	10490, 8673	6	156	16792	35.88034188034188	0.9999999683698091	0.38945568086354376	47.46096282676149
GOTERM_BP_ALL	GO:0031669~cellular response to nutrient levels	2	33.33333333333333	0.046461271292557386	5899, 53349	6	159	16792	35.20335429769392	0.9999999773439252	0.38674087560390613	48.11030574222699
GOTERM_CC_ALL	GO:0098805~whole membrane	3	50.0	0.04800754583834788	10490, 26100, 8673	6	1363	18224	6.685253118121791	0.996509776868002	0.40210762133345646	42.902348224563426
GOTERM_CC_ALL	GO:0005829~cytosol	4	66.66666666666666	0.048060319850384205	9776, 10490, 26100, 8673	6	3399	18224	3.5743846229283123	0.9965319570980602	0.3762550558029072	42.93839235273307
GOTERM_BP_ALL	GO:0017157~regulation of exocytosis	2	33.33333333333333	0.0513247950483789	5899, 8673	6	176	16792	31.803030303030305	0.9999999965841923	0.4095603720316622	51.64325696216279
GOTERM_BP_ALL	GO:0051179~localization	5	83.33333333333334	0.05382356619303393	5899, 9776, 10490, 26100, 8673	6	5872	16792	2.383060853769301	0.9999999987126786	0.4164952520204477	53.37037063529776
GOTERM_BP_ALL	GO:0031668~cellular response to extracellular stimulus	2	33.33333333333333	0.05474590656535439	5899, 53349	6	188	16792	29.77304964539007	0.9999999991026338	0.4138282771176236	53.99328976106851
GOTERM_BP_ALL	GO:0061025~membrane fusion	2	33.33333333333333	0.05559964034310966	10490, 8673	6	191	16792	29.305410122164048	0.9999999993576478	0.4108928007052405	54.56298730235428
GOTERM_CC_ALL	GO:0005770~late endosome	2	33.33333333333333	0.05918778405376613	10490, 8673	6	221	18224	27.487179487179485	0.9991029038291876	0.4170879942310617	50.09121293691341
GOTERM_MF_ALL	GO:0035091~phosphatidylinositol binding	2	33.33333333333333	0.06039691713644698	53349, 26100	6	209	16881	26.923444976076553	0.9694586485757176	0.3213368789346238	45.94409045548784
GOTERM_BP_ALL	GO:0016043~cellular component organization	5	83.33333333333334	0.06206736710641253	5899, 9776, 10490, 26100, 8673	6	6109	16792	2.290609483276041	0.9999999999494746	0.4391250085105124	58.67105341222665
GOTERM_BP_ALL	GO:1990778~protein localization to cell periphery	2	33.33333333333333	0.06551436822986227	10490, 8673	6	226	16792	24.766961651917402	0.9999999999870618	0.4494980420919914	60.717031470623574
GOTERM_BP_ALL	GO:0016192~vesicle-mediated transport	3	50.0	0.0659644986063233	5899, 10490, 8673	6	1494	16792	5.619812583668005	0.9999999999891744	0.4441120586685915	60.97716040415744
GOTERM_BP_ALL	GO:0071840~cellular component organization or biogenesis	5	83.33333333333334	0.06793610230273343	5899, 9776, 10490, 26100, 8673	6	6265	16792	2.2335727587124237	0.9999999999950466	0.44656579172915256	62.097830561352296
GOTERM_CC_ALL	GO:0019898~extrinsic component of membrane	2	33.33333333333333	0.07037108296968436	53349, 26100	6	264	18224	23.01010101010101	0.9997732189258534	0.4508560534215853	56.446723184136374
GOTERM_CC_ALL	GO:0005737~cytoplasm	6	100.0	0.07222758192220044	5899, 9776, 10490, 53349, 26100, 8673	6	10775	18224	1.691322505800464	0.9998197946947657	0.4371605825946424	57.427250048052805
GOTERM_BP_ALL	GO:0006950~response to stress	4	66.66666666666666	0.07350047800514498	5899, 9776, 53349, 8673	6	3677	16792	3.0445109237603116	0.9999999999994595	0.46618120168863	65.10171860228597
GOTERM_BP_ALL	GO:0046907~intracellular transport	3	50.0	0.07416333395711691	9776, 10490, 8673	6	1594	16792	5.267252195734002	0.9999999999995853	0.4619532869785786	65.44444538629428
GOTERM_BP_ALL	GO:0071496~cellular response to external stimulus	2	33.33333333333333	0.07422628102733081	5899, 53349	6	257	16792	21.779507133592737	0.9999999999995957	0.4551025704265973	65.47682906368568
GOTERM_CC_ALL	GO:0098588~bounding membrane of organelle	3	50.0	0.07509950910405992	10490, 53349, 8673	6	1742	18224	5.230769230769231	0.9998738387032354	0.42943137833517264	58.90447104751537
GOTERM_CC_ALL	GO:0005765~lysosomal membrane	2	33.33333333333333	0.07708131364188447	10490, 8673	6	290	18224	20.94712643678161	0.9999014184792474	0.4187795149496373	59.896412325812356
GOTERM_CC_ALL	GO:0098852~lytic vacuole membrane	2	33.33333333333333	0.07708131364188447	10490, 8673	6	290	18224	20.94712643678161	0.9999014184792474	0.4187795149496373	59.896412325812356
GOTERM_BP_ALL	GO:0007009~plasma membrane organization	2	33.33333333333333	0.07981230058423866	10490, 8673	6	277	16792	20.206979542719615	0.9999999999999569	0.4733192667592171	68.24110371745591
GOTERM_MF_ALL	GO:0043168~anion binding	2	33.33333333333333	0.08106759929970157	53349, 26100	6	283	16881	19.88339222614841	0.9912122110458597	0.3771435561773121	56.6041560227411
GOTERM_CC_ALL	GO:0043231~intracellular membrane-bounded organelle	6	100.0	0.08137441286687443	5899, 9776, 10490, 53349, 26100, 8673	6	11035	18224	1.6514725872224738	0.9999423324015306	0.4185716353345673	61.970733130562884
