Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0006979~response to oxidative stress	18	40.0	5.223615708682105E-17	51022, 2936, 2937, 7295, 7001, 2730, 2729, 7296, 23657, 5052, 9588, 1728, 10628, 10587, 2950, 2861, 2539, 25824	45	394	16792	17.047715736040608	8.911488399011671E-14	8.911488399011671E-14	8.814288678684314E-14
GOTERM_BP_ALL	GO:0045454~cell redox homeostasis	11	24.444444444444443	4.960007714918515E-15	9588, 51022, 10587, 2936, 7295, 7001, 25824, 2729, 7296, 5052, 2745	45	77	16792	53.3079365079365	8.523182160047327E-12	4.261591080023663E-12	8.426592756904938E-12
GOTERM_BP_ALL	GO:0000302~response to reactive oxygen species	13	28.888888888888886	1.584893786297716E-13	51022, 2936, 7295, 7001, 7296, 5052, 9588, 1728, 10628, 10587, 2950, 2861, 25824	45	210	16792	23.100105820105817	2.7046898054550184E-10	9.015632684850061E-11	2.675193400136777E-10
GOTERM_MF_ALL	GO:0016209~antioxidant activity	10	22.22222222222222	5.279894836228981E-13	9588, 1728, 10587, 2950, 2936, 7295, 7001, 25824, 7296, 5052	45	81	16881	46.31275720164609	1.8269563639705666E-10	1.8269563639705666E-10	7.209344232705917E-10
GOTERM_CC_ALL	GO:0005829~cytosol	31	68.88888888888889	8.656473356943903E-13	9531, 2936, 7295, 2937, 7001, 6300, 10273, 7415, 2729, 3337, 7296, 25796, 5686, 2745, 1728, 2950, 6767, 25824, 8140, 5226, 8851, 3300, 2730, 290, 5052, 3308, 9588, 1020, 10628, 2539, 4287	45	3399	18224	3.6935307770259227	1.4369638812183894E-10	1.4369638812183894E-10	1.0518252935298733E-9
GOTERM_BP_ALL	GO:0098869~cellular oxidant detoxification	10	22.22222222222222	8.667318300750598E-13	9588, 1728, 10587, 2950, 2936, 7295, 7001, 25824, 7296, 5052	45	85	16792	43.900653594771235	1.4786774027442107E-9	3.6966929517490144E-10	1.46255230148995E-9
GOTERM_BP_ALL	GO:1990748~cellular detoxification	10	22.22222222222222	1.0756788225945277E-12	9588, 1728, 10587, 2950, 2936, 7295, 7001, 25824, 7296, 5052	45	87	16792	42.89144316730523	1.83513582108219E-9	3.670271864208985E-10	1.8151147251899147E-9
GOTERM_BP_ALL	GO:0098754~detoxification	10	22.22222222222222	1.6313662745411991E-12	9588, 1728, 10587, 2950, 2936, 7295, 7001, 25824, 7296, 5052	45	91	16792	41.006105006105	2.7831030813274538E-9	4.6385051355457563E-10	2.7527424784068444E-9
GOTERM_BP_ALL	GO:0006950~response to stress	31	68.88888888888889	6.266437349831856E-11	51022, 9531, 2936, 7295, 2937, 7001, 6300, 10273, 7415, 7296, 2729, 3337, 23657, 5686, 1728, 2678, 10587, 2950, 25824, 3300, 2730, 5052, 3308, 9588, 1020, 10628, 2861, 2539, 4287, 26353, 10595	45	3677	16792	3.1459946212189887	1.0690532115109619E-7	1.52721894020047E-8	1.0573928399537635E-7
GOTERM_BP_ALL	GO:0009636~response to toxic substance	11	24.444444444444443	8.82530806320066E-11	9588, 1728, 10587, 2950, 2936, 7295, 7001, 25824, 7296, 23657, 5052	45	202	16792	20.32035203520352	1.5055972868438516E-7	1.8819967362304624E-8	1.4891754496204612E-7
GOTERM_CC_ALL	GO:0070062~extracellular exosome	26	57.77777777777777	3.1909495273517626E-10	2936, 2937, 7295, 7001, 10273, 7415, 3337, 7296, 25796, 5686, 2745, 6520, 1728, 2678, 2950, 6767, 25824, 8140, 5226, 5243, 6505, 5052, 290, 3308, 9588, 2539	45	2811	18224	3.745792323807265	5.296976401947262E-8	2.648488239831437E-8	3.877252185979785E-7
