Annotation Cluster 1	Enrichment Score: 6.877559112919832
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0031966~mitochondrial membrane	20	33.33333333333333	1.8447436389301904E-13	51024, 4129, 4728, 1374, 4697, 4706, 5245, 55288, 27069, 55847, 9927, 10105, 55669, 3030, 4287, 4831, 54832, 11331, 89941, 55626	59	691	18224	8.940126076185337	5.48021628077322E-11	2.74010814038661E-11	2.4619195571062846E-10
GOTERM_CC_ALL	GO:0005740~mitochondrial envelope	20	33.33333333333333	5.130340929609651E-13	51024, 4129, 4728, 1374, 4697, 4706, 5245, 55288, 27069, 55847, 9927, 10105, 55669, 3030, 4287, 4831, 54832, 11331, 89941, 55626	59	732	18224	8.439381309623043	1.523711157247476E-10	5.07903719082492E-11	6.845191080628865E-10
GOTERM_CC_ALL	GO:0044429~mitochondrial part	21	35.0	1.0683990274164529E-11	51024, 4129, 4728, 1374, 4697, 5245, 4706, 55288, 27069, 55847, 9927, 10105, 55669, 3030, 4287, 4831, 54832, 11331, 6742, 89941, 55626	59	990	18224	6.552028762198254	3.173150742163955E-9	6.346301262283305E-10	1.4255185920575286E-8
GOTERM_CC_ALL	GO:0005739~mitochondrion	26	43.333333333333336	1.2342027825835568E-11	51024, 51651, 4129, 1374, 4697, 4706, 55288, 27069, 55847, 9927, 22906, 3030, 55669, 54832, 83693, 89941, 55626, 4728, 5245, 5071, 7314, 10105, 4287, 4831, 11331, 6742	59	1700	18224	4.724067796610169	3.665578840461592E-9	6.109297512324474E-10	1.6467383012752634E-8
GOTERM_CC_ALL	GO:0005741~mitochondrial outer membrane	11	18.333333333333332	8.953023159943998E-11	51024, 4129, 1374, 55669, 54832, 55288, 55847, 11331, 9927, 89941, 55626	59	163	18224	20.84475408131434	2.6590490476152695E-8	3.798641512453571E-9	1.194561227713109E-7
GOTERM_CC_ALL	GO:0031967~organelle envelope	21	35.0	1.5471327841837864E-10	51024, 4129, 4728, 1374, 4697, 5245, 4706, 55288, 27069, 55847, 9927, 351, 10105, 55669, 3030, 4287, 4831, 54832, 11331, 89941, 55626	59	1149	18224	5.645351152807894	4.5949831939395835E-8	5.743729047935631E-9	2.0642676457072184E-7
GOTERM_CC_ALL	GO:0031975~envelope	21	35.0	1.6710638352528902E-10	51024, 4129, 4728, 1374, 4697, 5245, 4706, 55288, 27069, 55847, 9927, 351, 10105, 55669, 3030, 4287, 4831, 54832, 11331, 89941, 55626	59	1154	18224	5.620891225802661	4.963057842477525E-8	5.514508849557842E-9	2.2296228197049572E-7
GOTERM_CC_ALL	GO:0031968~organelle outer membrane	11	18.333333333333332	3.285006561077882E-10	51024, 4129, 1374, 55669, 54832, 55288, 55847, 11331, 9927, 89941, 55626	59	186	18224	18.267176963732457	9.756469454558214E-8	9.756469854238503E-9	4.383033269661496E-7
GOTERM_CC_ALL	GO:0019867~outer membrane	11	18.333333333333332	4.4826365463955637E-10	51024, 4129, 1374, 55669, 54832, 55288, 55847, 11331, 9927, 89941, 55626	59	192	18224	17.69632768361582	1.331342946997438E-7	1.2103118396389334E-8	5.980975603669947E-7
GOTERM_BP_ALL	GO:0007005~mitochondrion organization	16	26.666666666666668	2.8990953991340708E-9	51024, 4728, 4706, 5245, 55288, 5071, 3308, 9927, 10105, 55669, 54832, 11331, 6742, 89941, 55626, 3064	58	653	16792	7.093837461055077	6.725878737956492E-6	5.173768935495815E-7	5.070838293708135E-6
