Target	value	Drug	Chemical	miRNA	total_drugs	total_chems	total_miRNAs	degree	closeness	betweenness
ABL1	0.4125223	IMATINIB MESYLATE, BAFETINIB, REGORAFENIB, FLUMATINIB, POTINIB HYDROCHLORIDE, XL-228, AT-9283, KW-2449, AZD-0424, FOSTAMATINIB, BOSUTINIB, NILOTINIB HYDROCHLORIDE MONOHYDRATE, ABL-001, REBASTINIB, DASATINIB, AZM-475271, SARACATINIB	NA	hsa-mir-4723-5p, hsa-mir-30a-5p, hsa-mir-203a-3p, hsa-mir-29a-3p	17	NA	4	6	0.656823425572937	-0.278874524050435
ACAT1	-0.5827608	SULFASALAZINE	NA	hsa-mir-9-5p	1	NA	1	2	-0.290296896798086	-0.373451327570838
ACSL1	0.3710254	NA	NA	hsa-mir-34a-5p, hsa-mir-205-5p	NA	NA	2	5	0.475207155060014	-0.347949727844008
ACSL4	-0.4029217	TROGLITAZONE	NA	hsa-mir-205-5p, hsa-mir-34a-5p	1	NA	2	47	1.49045866303142	4.81164231183751
ACTR2	-0.3053636	NA	NA	hsa-mir-155-5p	NA	NA	1	18	1.2432889692805	0.509778660898733
ADORA2A	0.4263662	UK432097, ADENOSINE, SONEDENOSON, AMINOPHYLLINE, REGADENOSON, TOZADENT, AMP579, CAFFEINE, CITRATED, BINODENOSON, THEOPHYLLINE, V81444, APADENOSON, THEOPHYLLINE SODIUM GLYCITE, ST1535, PENTOXIFYLLINE, PRELADENT, LAMOTRIGINE, EVODENOSON, CAFFEINE, VIPADENT, PBF-509, BVT.115959, ISTRADEFYLLINE, OXTRIPHYLLINE, PBF-999	NA	NA	26	NA	NA	6	-0.0592030849159777	-0.278272036148272
AKR1A1	-0.2914916	TOLRESTAT, COPPER	NA	NA	2	NA	NA	25	1.43907753386844	1.34750663259314
AKR1B1	-0.3639156	TOLRESTAT	NA	NA	1	NA	NA	2	0.496408336879609	-0.373451327570838
AKT3	-0.5938592	LY-2780301, AZD-5363, AFURESERTIB, UPROSERTIB, TRICIRIBINE PHOSPHATE, MK-2206, XL-418, MK-2201, GSK-690693, IPATASERTIB, ARQ-092, MSC-2363318A	NA	hsa-mir-16-5p, hsa-mir-122-5p, hsa-mir-15a-5p, hsa-mir-519d-3p	12	NA	4	2	0.337071662228291	-0.257112673862734
ALDH1A1	-0.7950421	NA	NA	hsa-mir-140-5p	NA	NA	1	18	0.611181052122551	-0.0410299480397035
